Mp_Mjup,Mdot_Mjup_yr,alpha,kappaR,Rin_Rjup,Rout_AU,d_pc,wavelength,kappa_mm,Tb_avg_K,F_nu_muJy
0.3,1e-06,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,107.6,70.12
0.3,1e-06,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,70.5,19.64
0.3,1e-06,0.01,1.0,1.0,0.12,140,3mm,0.0041,20.5,1.07
0.3,1e-06,0.01,1.0,1.0,0.12,140,10mm,0.0005,2.6,0.01
0.3,1e-06,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,131.1,85.40
0.3,1e-06,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,77.8,21.66
0.3,1e-06,0.01,10.0,1.0,0.12,140,3mm,0.0041,20.1,1.05
0.3,1e-06,0.01,10.0,1.0,0.12,140,10mm,0.0005,2.6,0.01
0.3,1e-06,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,50.8,33.07
0.3,1e-06,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,27.9,7.76
0.3,1e-06,0.03,1.0,1.0,0.12,140,3mm,0.0041,6.9,0.36
0.3,1e-06,0.03,1.0,1.0,0.12,140,10mm,0.0005,0.9,0.00
0.3,1e-06,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,55.3,36.01
0.3,1e-06,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,28.1,7.83
0.3,1e-06,0.03,10.0,1.0,0.12,140,3mm,0.0041,6.8,0.35
0.3,1e-06,0.03,10.0,1.0,0.12,140,10mm,0.0005,0.9,0.00
0.3,1e-06,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,17.6,11.47
0.3,1e-06,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,8.6,2.40
0.3,1e-06,0.1,1.0,1.0,0.12,140,3mm,0.0041,2.1,0.11
0.3,1e-06,0.1,1.0,1.0,0.12,140,10mm,0.0005,0.3,0.00
0.3,1e-06,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,17.5,11.38
0.3,1e-06,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,8.5,2.36
0.3,1e-06,0.1,10.0,1.0,0.12,140,3mm,0.0041,2.0,0.11
0.3,1e-06,0.1,10.0,1.0,0.12,140,10mm,0.0005,0.3,0.00
0.3,3e-06,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,170.1,110.81
0.3,3e-06,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,155.4,43.27
0.3,3e-06,0.01,1.0,1.0,0.12,140,3mm,0.0041,59.4,3.10
0.3,3e-06,0.01,1.0,1.0,0.12,140,10mm,0.0005,7.9,0.04
0.3,3e-06,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,218.3,142.18
0.3,3e-06,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,191.1,53.21
0.3,3e-06,0.01,10.0,1.0,0.12,140,3mm,0.0041,58.5,3.06
0.3,3e-06,0.01,10.0,1.0,0.12,140,10mm,0.0005,7.6,0.04
0.3,3e-06,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,121.2,78.93
0.3,3e-06,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,75.2,20.95
0.3,3e-06,0.03,1.0,1.0,0.12,140,3mm,0.0041,20.5,1.07
0.3,3e-06,0.03,1.0,1.0,0.12,140,10mm,0.0005,2.6,0.01
0.3,3e-06,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,143.4,93.39
0.3,3e-06,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,80.5,22.41
0.3,3e-06,0.03,10.0,1.0,0.12,140,3mm,0.0041,20.2,1.05
0.3,3e-06,0.03,10.0,1.0,0.12,140,10mm,0.0005,2.6,0.01
0.3,3e-06,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,48.9,31.82
0.3,3e-06,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,25.6,7.13
0.3,3e-06,0.1,1.0,1.0,0.12,140,3mm,0.0041,6.2,0.32
0.3,3e-06,0.1,1.0,1.0,0.12,140,10mm,0.0005,0.8,0.00
0.3,3e-06,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,51.3,33.42
0.3,3e-06,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,25.3,7.06
0.3,3e-06,0.1,10.0,1.0,0.12,140,3mm,0.0041,6.1,0.32
0.3,3e-06,0.1,10.0,1.0,0.12,140,10mm,0.0005,0.8,0.00
0.3,1e-05,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,229.9,149.73
0.3,1e-05,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,241.1,67.14
0.3,1e-05,0.01,1.0,1.0,0.12,140,3mm,0.0041,173.1,9.05
0.3,1e-05,0.01,1.0,1.0,0.12,140,10mm,0.0005,26.1,0.12
0.3,1e-05,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,294.9,192.12
0.3,1e-05,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,338.0,94.14
0.3,1e-05,0.01,10.0,1.0,0.12,140,3mm,0.0041,177.2,9.27
0.3,1e-05,0.01,10.0,1.0,0.12,140,10mm,0.0005,24.4,0.11
0.3,1e-05,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,229.9,149.73
0.3,1e-05,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,189.7,52.83
0.3,1e-05,0.03,1.0,1.0,0.12,140,3mm,0.0041,66.9,3.50
0.3,1e-05,0.03,1.0,1.0,0.12,140,10mm,0.0005,8.8,0.04
0.3,1e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,294.9,192.12
0.3,1e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,226.8,63.17
0.3,1e-05,0.03,10.0,1.0,0.12,140,3mm,0.0041,65.8,3.44
0.3,1e-05,0.03,10.0,1.0,0.12,140,10mm,0.0005,8.5,0.04
0.3,1e-05,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,134.1,87.36
0.3,1e-05,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,79.1,22.04
0.3,1e-05,0.1,1.0,1.0,0.12,140,3mm,0.0041,20.5,1.07
0.3,1e-05,0.1,1.0,1.0,0.12,140,10mm,0.0005,2.7,0.01
0.3,1e-05,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,153.9,100.28
0.3,1e-05,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,82.5,22.97
0.3,1e-05,0.1,10.0,1.0,0.12,140,3mm,0.0041,20.2,1.06
0.3,1e-05,0.1,10.0,1.0,0.12,140,10mm,0.0005,2.6,0.01
0.3,3e-05,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,302.5,197.06
0.3,3e-05,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,317.3,88.36
0.3,3e-05,0.01,1.0,1.0,0.12,140,3mm,0.0041,364.1,19.04
0.3,3e-05,0.01,1.0,1.0,0.12,140,10mm,0.0005,77.5,0.36
0.3,3e-05,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,388.1,252.84
0.3,3e-05,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,444.9,123.89
0.3,3e-05,0.01,10.0,1.0,0.12,140,3mm,0.0041,440.8,23.05
0.3,3e-05,0.01,10.0,1.0,0.12,140,10mm,0.0005,71.8,0.34
0.3,3e-05,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,302.5,197.06
0.3,3e-05,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,317.3,88.36
0.3,3e-05,0.03,1.0,1.0,0.12,140,3mm,0.0041,183.2,9.58
0.3,3e-05,0.03,1.0,1.0,0.12,140,10mm,0.0005,26.2,0.12
0.3,3e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,388.1,252.84
0.3,3e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,444.9,123.89
